Expiry,callHedge,putHedge,netHedge,Price,ProcDate,ClosePrice
2026-09-19,884163.1688954239,-37184833.94014068,-36300670.771245256,258.0799865722656,2026-09-17,358.0799865722656
2026-09-22,4.053161581132417,-2065624.3794687958,-2065620.3263072148,258.0799865722656,2026-09-17,358.0799865722656
2026-09-23,391.42421252904404,-999608.5757874709,-999217.1515749418,258.0799865722656,2026-09-17,358.0799865722656
2026-09-24,3.7100912238488477,-981278.2214936771,-981274.5114024532,258.0799865722656,2026-09-17,358.0799865722656
2026-09-26,23935.366889438934,-6534809.433369361,-6510874.066479922,258.0799865722656,2026-09-17,358.0799865722656
2026-09-29,2.716456456947278,-227575.39542096184,-227572.67896450488,258.0799865722656,2026-09-17,358.0799865722656
2026-10-01,12.06878195862932,-114022.1335724167,-114010.06479045807,258.0799865722656,2026-09-17,358.0799865722656
2026-10-02,60.30973753765835,-931339.6902624622,-931279.3805249247,258.0799865722656,2026-09-17,358.0799865722656
2026-10-03,64981.531412736425,-6581262.368435167,-6516280.83702243,258.0799865722656,2026-09-17,358.0799865722656
2026-10-07,0.003610662610967351,-291699.99638933735,-291699.99277867476,258.0799865722656,2026-09-17,358.0799865722656
2026-10-09,5.2546404497522515e-05,0.0,5.2546404497522515e-05,258.0799865722656,2026-09-17,358.0799865722656
2026-10-10,22268.0996473161,-1691397.8837447516,-1669129.7840974357,258.0799865722656,2026-09-17,358.0799865722656
2026-10-17,685430.2346823519,-21307810.569755934,-20622380.33507358,258.0799865722656,2026-09-17,358.0799865722656
2026-10-21,33470.493473696464,-966529.5065263035,-933059.013052607,258.0799865722656,2026-09-17,358.0799865722656
2026-10-24,17600.93993454187,-1143930.486634691,-1126329.546700149,258.0799865722656,2026-09-17,358.0799865722656
2026-10-28,3.0177225088841073,0.0,3.0177225088841073,258.0799865722656,2026-09-17,358.0799865722656
2026-10-29,25844.825993448812,-304155.17400655115,-278310.34801310237,258.0799865722656,2026-09-17,358.0799865722656
2026-10-30,4.062703915546816,0.0,4.062703915546816,258.0799865722656,2026-09-17,358.0799865722656
2026-10-31,5779.13443651401,-483078.45979737333,-477299.32536085934,258.0799865722656,2026-09-17,358.0799865722656
2026-11-04,1.1920529031029505,0.0,1.1920529031029505,258.0799865722656,2026-09-17,358.0799865722656
2026-11-06,2.0967169728019144,0.0,2.0967169728019144,258.0799865722656,2026-09-17,358.0799865722656
2026-11-10,1.0122966776711757,-43713.73646500782,-43712.724168330154,258.0799865722656,2026-09-17,358.0799865722656
2026-11-21,847495.2922463106,-14732222.969401963,-13884727.677155651,258.0799865722656,2026-09-17,358.0799865722656
2026-11-25,164274.94372472586,-1335725.0562752741,-1171450.1125505483,258.0799865722656,2026-09-17,358.0799865722656
2026-12-19,6046784.110723044,-16389447.305957131,-10342663.195234088,258.0799865722656,2026-09-17,358.0799865722656
2026-12-23,0.0,0.0,0.0,258.0799865722656,2026-09-17,358.0799865722656
2026-12-25,0.0,-8885.623255005374,-8885.623255005374,258.0799865722656,2026-09-17,358.0799865722656
2026-12-31,0.0,-4349.576282869351,-4349.576282869351,258.0799865722656,2026-09-17,358.0799865722656
2027-01-16,7710176.6339431405,-18053645.930394303,-10343469.296451163,258.0799865722656,2026-09-17,358.0799865722656
2027-01-20,149222.3524189147,-1850777.647581085,-1701555.2951621704,258.0799865722656,2026-09-17,358.0799865722656
2027-01-30,0.0,0.0,0.0,258.0799865722656,2026-09-17,358.0799865722656
2027-02-20,239416.01067137354,-1511267.1386762836,-1271851.1280049102,258.0799865722656,2026-09-17,358.0799865722656
2027-03-20,1174494.670522972,-6003126.440275916,-4828631.769752944,258.0799865722656,2026-09-17,358.0799865722656
2027-06-18,4051689.4050248167,-8701394.981742973,-4649705.576718155,258.0799865722656,2026-09-17,358.0799865722656
2027-09-18,692563.7734252014,-1915545.879451825,-1222982.1060266236,258.0799865722656,2026-09-17,358.0799865722656
2027-12-18,10406771.267349252,-6840993.583457443,3565777.68389181,258.0799865722656,2026-09-17,358.0799865722656
2028-01-22,2771418.576713017,-4641046.218472131,-1869627.641759114,258.0799865722656,2026-09-17,358.0799865722656
2028-06-17,1386425.3896407827,-1881802.1237080332,-495376.7340672506,258.0799865722656,2026-09-17,358.0799865722656
2028-12-16,5051419.722258953,-7884465.63850776,-2833045.9162488068,258.0799865722656,2026-09-17,358.0799865722656
2029-01-10,0.0,0.0,0.0,258.0799865722656,2026-09-17,358.0799865722656
2029-01-20,30021.00887125075,-50006.327381139876,-19985.31850988913,258.0799865722656,2026-09-17,358.0799865722656
2029-12-22,4068.1474151200205,-4931.852584879979,-863.7051697599586,258.0799865722656,2026-09-17,358.0799865722656
2030-01-19,2653.738665306291,-2160.0744047682765,493.66426053801433,258.0799865722656,2026-09-17,358.0799865722656
2031-06-21,9544.852848257417,0.0,9544.852848257417,258.0799865722656,2026-09-17,358.0799865722656
2026-09-19,3398624.8936178987,-25969055.582105123,-22570430.688487224,308.0799865722656,2026-09-17,358.0799865722656
2026-09-22,6982.132839858983,-1522609.165193151,-1515627.032353292,308.0799865722656,2026-09-17,358.0799865722656
2026-09-23,467378.9043779916,-532621.0956220084,-65242.19124401681,308.0799865722656,2026-09-17,358.0799865722656
2026-09-24,5810.426359544107,-882350.8204402928,-876540.3940807487,308.0799865722656,2026-09-17,358.0799865722656
2026-09-26,582993.0477496459,-4763012.09222263,-4180019.044472984,308.0799865722656,2026-09-17,358.0799865722656
2026-09-29,4720.142536488203,-192698.72518374753,-187978.58264725932,308.0799865722656,2026-09-17,358.0799865722656
2026-10-01,3883.2890398827662,-95637.88627674278,-91754.59723686002,308.0799865722656,2026-09-17,358.0799865722656
2026-10-02,27927.9501711796,-903472.0498288205,-875544.0996576409,308.0799865722656,2026-09-17,358.0799865722656
2026-10-03,867873.4236024113,-4683686.768410755,-3815813.344808344,308.0799865722656,2026-09-17,358.0799865722656
