Expiry,callHedge,putHedge,netHedge,Price,ProcDate,ClosePrice
2026-09-18,0.1686479080000082,-32299.831352092002,-32299.662704184,397.75,2026-09-17,497.75
2026-09-19,7918894.272443296,-21177438.664004333,-13258544.391561035,397.75,2026-09-17,497.75
2026-09-22,3.441387103519717,-439097.6138795871,-439094.1724924836,397.75,2026-09-17,497.75
2026-09-24,0.49887826465227864,-450235.9698053288,-450235.4709270642,397.75,2026-09-17,497.75
2026-09-26,1637228.6826288265,-3817963.8306569653,-2180735.148028139,397.75,2026-09-17,497.75
2026-09-29,20.79498985661437,-111352.72507219964,-111331.93008234302,397.75,2026-09-17,497.75
2026-10-01,4.92684234603082,-12578.092172670244,-12573.165330324213,397.75,2026-09-17,497.75
2026-10-02,26.34226535922228,-307475.27811859146,-307448.9358532322,397.75,2026-09-17,497.75
2026-10-03,5034.382455892314,-3055226.375253078,-3050191.9927971857,397.75,2026-09-17,497.75
2026-10-06,0.0,-63499.71134569211,-63499.71134569211,397.75,2026-09-17,497.75
2026-10-10,5908.688295471403,-1360029.5613361408,-1354120.8730406696,397.75,2026-09-17,497.75
2026-10-13,0.0,-62399.81581810268,-62399.81581810268,397.75,2026-09-17,497.75
2026-10-16,75.47695249250005,-79924.52304750751,-79849.046095015,397.75,2026-09-17,497.75
2026-10-17,3904404.44477006,-16701022.478297591,-12796618.03352753,397.75,2026-09-17,497.75
2026-10-24,3515.71094206981,-311005.6347668231,-307489.92382475326,397.75,2026-09-17,497.75
2026-10-31,3955.446813756925,-456786.6986006752,-452831.25178691826,397.75,2026-09-17,497.75
2026-11-05,19.483583604370203,0.0,19.483583604370203,397.75,2026-09-17,497.75
2026-11-07,53.657051252542374,0.0,53.657051252542374,397.75,2026-09-17,497.75
2026-11-11,17.919620866411677,0.0,17.919620866411677,397.75,2026-09-17,497.75
2026-11-21,2615452.253078666,-5026038.198386191,-2410585.9453075253,397.75,2026-09-17,497.75
2026-11-25,0.0015985482966044515,0.0,0.0015985482966044515,397.75,2026-09-17,497.75
2026-12-04,261.7379850561548,0.0,261.7379850561548,397.75,2026-09-17,497.75
2026-12-05,5.067561446216997,0.0,5.067561446216997,397.75,2026-09-17,497.75
2026-12-09,3.0600419434040913,0.0,3.0600419434040913,397.75,2026-09-17,497.75
2026-12-12,53651.283010204534,-446348.7169897955,-392697.43397959095,397.75,2026-09-17,497.75
2026-12-18,261628.61269937153,0.0,261628.61269937153,397.75,2026-09-17,497.75
2026-12-19,5292689.319766576,-8441891.516277503,-3149202.1965109264,397.75,2026-09-17,497.75
2026-12-31,0.0,-978.9409773221754,-978.9409773221754,397.75,2026-09-17,497.75
2027-01-05,3538.376322993004,-166461.62367700698,-162923.247354014,397.75,2026-09-17,497.75
2027-01-06,3626.3175558317525,-166373.68244416825,-162747.3648883365,397.75,2026-09-17,497.75
2027-01-07,3714.9231048123474,-166285.07689518764,-162570.15379037528,397.75,2026-09-17,497.75
2027-01-15,7071584.596174998,0.0,7071584.596174998,397.75,2026-09-17,497.75
2027-01-16,5913314.930703775,-9937297.02469503,-4023982.093991255,397.75,2026-09-17,497.75
2027-01-21,589.3495842055685,-805.370195150139,-216.02061094457056,397.75,2026-09-17,497.75
2027-02-24,186.76827637399185,-5211.144167638809,-5024.375891264817,397.75,2026-09-17,497.75
2027-03-05,24873.555371701692,0.0,24873.555371701692,397.75,2026-09-17,497.75
2027-03-20,2102883.0933790556,-3634266.8164935154,-1531383.7231144593,397.75,2026-09-17,497.75
2027-03-26,0.0,-753.3447186403472,-753.3447186403472,397.75,2026-09-17,497.75
2027-03-31,0.0,-1517.4693027919302,-1517.4693027919302,397.75,2026-09-17,497.75
2027-04-17,47842.96138552586,-229617.96655144147,-181775.00516591562,397.75,2026-09-17,497.75
2027-06-12,31379.593871689667,-30647.60235664161,731.9915150480556,397.75,2026-09-17,497.75
2027-06-18,2794782.5278992984,-3023394.6236127033,-228612.09571340468,397.75,2026-09-17,497.75
2027-06-30,0.0,-2443.919088422176,-2443.919088422176,397.75,2026-09-17,497.75
2027-09-18,659756.4681693376,-737758.4745701975,-78002.00640085984,397.75,2026-09-17,497.75
2027-12-18,2329448.557714331,-1829666.1670519814,499782.39066234947,397.75,2026-09-17,497.75
2028-01-22,2644141.0600756845,-2780526.582375575,-136385.52229989014,397.75,2026-09-17,497.75
2028-06-17,1165949.9222074558,-617267.3406439597,548682.5815634961,397.75,2026-09-17,497.75
2028-12-16,3773714.9122977927,-2017421.4496091323,1756293.4626886605,397.75,2026-09-17,497.75
2029-01-20,12596.929889398196,-29157.46119650649,-16560.531307108296,397.75,2026-09-17,497.75
2029-03-17,3274.4040216243084,0.0,3274.4040216243084,397.75,2026-09-17,497.75
2030-06-22,0.0,-58097.595077583246,-58097.595077583246,397.75,2026-09-17,497.75
2026-09-18,32299.83710464689,-0.1628953531081985,32299.674209293782,447.75,2026-09-17,497.75
2026-09-19,15466287.037923591,-14748625.980538217,717661.0573853737,447.75,2026-09-17,497.75
2026-09-22,1321.6794888366878,-405100.07067279896,-403778.3911839623,447.75,2026-09-17,497.75
2026-09-24,1885.0640585499684,-340690.0546292872,-338804.9905707373,447.75,2026-09-17,497.75
2026-09-26,2080086.060003637,-2688518.678993414,-608432.618989777,447.75,2026-09-17,497.75
2026-09-29,6485.82218768613,-99015.25877970606,-92529.43659201992,447.75,2026-09-17,497.75
2026-10-01,1407.210301205107,-11102.383207489796,-9695.17290628469,447.75,2026-09-17,497.75
2026-10-02,22765.42541424668,-286783.44796885306,-264018.0225546064,447.75,2026-09-17,497.75
2026-10-03,191729.34289900115,-2678638.6186478604,-2486909.2757488587,447.75,2026-09-17,497.75
2026-10-06,0.0,-62998.433935158595,-62998.433935158595,447.75,2026-09-17,497.75
2026-10-10,78425.04238598683,-1150651.0571399357,-1072226.014753949,447.75,2026-09-17,497.75
2026-10-13,0.0,-62240.29783018531,-62240.29783018531,447.75,2026-09-17,497.75
2026-10-16,5672.606725823671,-74327.39327417634,-68654.78654835267,447.75,2026-09-17,497.75
2026-10-17,7720068.542117118,-12121491.521768024,-4401422.979650905,447.75,2026-09-17,497.75
2026-10-24,33658.89436302757,-195767.94197553766,-162109.04761251007,447.75,2026-09-17,497.75
2026-10-31,21266.260682640903,-225869.66403270158,-204603.4033500607,447.75,2026-09-17,497.75
2026-11-05,849.9824804325509,0.0,849.9824804325509,447.75,2026-09-17,497.75
2026-11-07,2422.128389741675,0.0,2422.128389741675,447.75,2026-09-17,497.75
2026-11-11,688.2048376601228,0.0,688.2048376601228,447.75,2026-09-17,497.75
2026-11-21,7860873.844323129,-2971657.0700550266,4889216.774268103,447.75,2026-09-17,497.75
2026-11-25,0.14531745180929723,0.0,0.14531745180929723,447.75,2026-09-17,497.75
2026-12-04,3051.641151745088,0.0,3051.641151745088,447.75,2026-09-17,497.75
2026-12-05,78.12469817870988,0.0,78.12469817870988,447.75,2026-09-17,497.75
2026-12-09,39.17882683394742,0.0,39.17882683394742,447.75,2026-09-17,497.75
2026-12-12,193034.21069644063,-306965.7893035594,-113931.57860711878,447.75,2026-09-17,497.75
2026-12-18,2008781.7604949705,0.0,2008781.7604949705,447.75,2026-09-17,497.75
2026-12-19,9942436.267876022,-5016746.47750398,4925689.790372042,447.75,2026-09-17,497.75
2026-12-31,0.0,-214.57832319501958,-214.57832319501958,447.75,2026-09-17,497.75
2027-01-05,19695.21456989304,-150304.78543010695,-130609.5708602139,447.75,2026-09-17,497.75
2027-01-06,19909.1229088421,-150090.8770911579,-130181.7541823158,447.75,2026-09-17,497.75
2027-01-07,20121.92227569565,-149878.07772430434,-129756.15544860868,447.75,2026-09-17,497.75
2027-01-15,17068334.60187728,0.0,17068334.60187728,447.75,2026-09-17,497.75
2027-01-16,10871234.55693857,-5401520.034509683,5469714.522428887,447.75,2026-09-17,497.75
2027-01-21,1522.0694893524587,-199.16320125023796,1322.9062881022205,447.75,2026-09-17,497.75
2027-02-24,786.453907018293,-2729.6812666388946,-1943.2273596206016,447.75,2026-09-17,497.75
2027-03-05,44465.82648243739,0.0,44465.82648243739,447.75,2026-09-17,497.75
2027-03-20,3506473.622210877,-2098267.383738555,1408206.238472322,447.75,2026-09-17,497.75
2027-03-26,0.0,-227.96522040589755,-227.96522040589755,447.75,2026-09-17,497.75
2027-03-31,0.0,-604.6250391809571,-604.6250391809571,447.75,2026-09-17,497.75
2027-04-17,96350.63893014508,-158702.53991801364,-62351.90098786855,447.75,2026-09-17,497.75
2027-06-12,52146.8007408441,-14805.273669214814,37341.52707162929,447.75,2026-09-17,497.75
2027-06-18,4118136.2245016224,-1893303.3596469,2224832.8648547223,447.75,2026-09-17,497.75
2027-06-30,0.0,-993.9413909339963,-993.9413909339963,447.75,2026-09-17,497.75
2027-09-18,932274.7991387348,-486502.99606330076,445771.8030754341,447.75,2026-09-17,497.75
2027-12-18,3215841.381069464,-1347617.0994374566,1868224.2816320078,447.75,2026-09-17,497.75
2028-01-22,3582130.5746775866,-1976968.6898809022,1605161.8847966841,447.75,2026-09-17,497.75
2028-06-17,1503425.2936382436,-423658.16665574035,1079767.126982503,447.75,2026-09-17,497.75
2028-12-16,4666455.084271791,-1540245.2204142914,3126209.8638575,447.75,2026-09-17,497.75
2029-01-20,16294.055943306392,-21256.102703939483,-4962.04676063309,447.75,2026-09-17,497.75
2029-03-17,4307.797393988321,0.0,4307.797393988321,447.75,2026-09-17,497.75
2030-06-22,0.0,-43073.45297797854,-43073.45297797854,447.75,2026-09-17,497.75
2026-09-18,32300.0,-3.7068380092839117e-16,32300.0,477.75,2026-09-17,497.75
2026-09-19,22559048.759127926,-8154740.6714874795,14404308.087640446,477.75,2026-09-17,497.75
2026-09-22,26027.223402893385,-213142.77392591667,-187115.5505230233,477.75,2026-09-17,497.75
2026-09-24,21087.222300678794,-134482.2178038634,-113394.9955031846,477.75,2026-09-17,497.75
2026-09-26,2369697.589854289,-1849166.920877568,520530.6689767208,477.75,2026-09-17,497.75
2026-09-29,24290.03745126446,-61972.0319518415,-37681.99450057704,477.75,2026-09-17,497.75
2026-10-01,9538.688658340161,-6865.604118046881,2673.0845402932805,477.75,2026-09-17,497.75
2026-10-02,138501.00352953823,-183859.92700013798,-45358.923470599744,477.75,2026-09-17,497.75
2026-10-03,1130917.9035103708,-1823571.2994883861,-692653.3959780154,477.75,2026-09-17,497.75
2026-10-06,0.0,-57406.908825545375,-57406.908825545375,477.75,2026-09-17,497.75
2026-10-10,323423.81345265114,-845707.6800002111,-522283.86654755997,477.75,2026-09-17,497.75
2026-10-13,0.0,-60401.38399614492,-60401.38399614492,477.75,2026-09-17,497.75
2026-10-16,22700.29845602835,-57299.70154397165,-34599.4030879433,477.75,2026-09-17,497.75
2026-10-17,12886703.356416939,-8120761.597010344,4765941.759406595,477.75,2026-09-17,497.75
2026-10-24,88733.51517403846,-125090.34660017572,-36356.83142613726,477.75,2026-09-17,497.75
2026-10-31,50509.792744946266,-110423.35403672651,-59913.561291780235,477.75,2026-09-17,497.75
2026-11-05,3701.1147523486325,0.0,3701.1147523486325,477.75,2026-09-17,497.75
2026-11-07,10894.788223347581,0.0,10894.788223347581,477.75,2026-09-17,497.75
2026-11-11,2954.8366559716023,0.0,2954.8366559716023,477.75,2026-09-17,497.75
2026-11-21,13794667.110205386,-1944688.1647847889,11849978.945420599,477.75,2026-09-17,497.75
2026-11-25,1.0929914140073402,0.0,1.0929914140073402,477.75,2026-09-17,497.75
2026-12-04,8119.022290705256,0.0,8119.022290705256,477.75,2026-09-17,497.75
2026-12-05,241.16242843652677,0.0,241.16242843652677,477.75,2026-09-17,497.75
2026-12-09,111.54956558976319,0.0,111.54956558976319,477.75,2026-09-17,497.75
2026-12-12,295768.6353894426,-204231.36461055736,91537.27077888526,477.75,2026-09-17,497.75
2026-12-18,4698891.279839907,0.0,4698891.279839907,477.75,2026-09-17,497.75
2026-12-19,13951587.523923157,-3320306.6096754316,10631280.914247727,477.75,2026-09-17,497.75
2026-12-31,0.0,-71.42025445150853,-71.42025445150853,477.75,2026-09-17,497.75
2027-01-05,39287.14354585139,-130712.85645414861,-91425.71290829722,477.75,2026-09-17,497.75
2027-01-06,39512.3272670504,-130487.67273294959,-90975.34546589918,477.75,2026-09-17,497.75
2027-01-07,39735.42880800208,-130264.57119199791,-90529.14238399583,477.75,2026-09-17,497.75
2027-01-15,23516804.415428374,0.0,23516804.415428374,477.75,2026-09-17,497.75
2027-01-16,14236512.995375548,-3425694.2508985144,10810818.744477034,477.75,2026-09-17,497.75
2027-01-21,2134.359902442595,-75.17622429276567,2059.1836781498296,477.75,2026-09-17,497.75
2027-02-24,1468.905476184708,-1674.497080098656,-205.5916039139479,477.75,2026-09-17,497.75
2027-03-05,54374.50715795187,0.0,54374.50715795187,477.75,2026-09-17,497.75
2027-03-20,4393986.746429735,-1437785.0155160306,2956201.7309137043,477.75,2026-09-17,497.75
2027-03-26,0.0,-102.01671239820331,-102.01671239820331,477.75,2026-09-17,497.75
2027-03-31,0.0,-318.2648486381294,-318.2648486381294,477.75,2026-09-17,497.75
2027-04-17,133836.002809904,-120282.33811297487,13553.664696929114,477.75,2026-09-17,497.75
2027-06-12,63646.24973015374,-9012.230716183616,54634.01901397012,477.75,2026-09-17,497.75
2027-06-18,4946552.565870885,-1391798.5020713825,3554754.0637995023,477.75,2026-09-17,497.75
2027-06-30,0.0,-550.9551833312305,-550.9551833312305,477.75,2026-09-17,497.75
2027-09-18,1099535.4852862258,-370160.71205682296,729374.773229403,477.75,2026-09-17,497.75
2027-12-18,3766085.815782054,-1106140.9394838447,2659944.8762982087,477.75,2026-09-17,497.75
2028-01-22,4147400.344148593,-1589865.5097613756,2557534.8343872176,477.75,2026-09-17,497.75
2028-06-17,1699654.060938981,-336023.5678533779,1363630.493085603,477.75,2026-09-17,497.75
2028-12-16,5172937.171376596,-1305528.4963174548,3867408.6750591407,477.75,2026-09-17,497.75
2029-01-20,18367.37583501157,-17462.50489840954,904.8709366020307,477.75,2026-09-17,497.75
2029-03-17,4888.038282548034,0.0,4888.038282548034,477.75,2026-09-17,497.75
2030-06-22,0.0,-35905.366275530585,-35905.366275530585,477.75,2026-09-17,497.75
2026-09-18,32300.0,-1.4023096363827693e-30,32300.0,497.75,2026-09-17,497.75
2026-09-19,29092951.310311105,-2860847.562058106,26232103.748252995,497.75,2026-09-17,497.75
2026-09-22,132758.6403550631,-70947.99649151262,61810.643863550475,497.75,2026-09-17,497.75
2026-09-24,63040.33659556098,-50255.37447462031,12784.96212094067,497.75,2026-09-17,497.75
2026-09-26,3083051.654741063,-1201012.532276203,1882039.1224648594,497.75,2026-09-17,497.75
2026-09-29,42546.90346747242,-32535.097698245936,10011.805769226477,497.75,2026-09-17,497.75
2026-10-01,22051.63378254537,-3547.0285617654667,18504.605220779904,497.75,2026-09-17,497.75
2026-10-02,245762.17014646344,-90479.2376258506,155282.93252061284,497.75,2026-09-17,497.75
2026-10-03,2392115.0157663543,-1059582.4078244132,1332532.6079419414,497.75,2026-09-17,497.75
2026-10-06,0.0,-46167.575399299254,-46167.575399299254,497.75,2026-09-17,497.75
2026-10-10,630010.7871022793,-579931.7513881892,50079.035714090125,497.75,2026-09-17,497.75
2026-10-13,0.0,-55835.75407865224,-55835.75407865224,497.75,2026-09-17,497.75
2026-10-16,39863.33074240914,-40136.66925759086,-273.33851518172014,497.75,2026-09-17,497.75
2026-10-17,17755179.957784127,-5330538.012403182,12424641.945380945,497.75,2026-09-17,497.75
2026-10-24,146594.23930384006,-84136.59654682841,62457.642757011665,497.75,2026-09-17,497.75
2026-10-31,80782.44314223331,-62180.57432722896,18601.868815004356,497.75,2026-09-17,497.75
2026-11-05,7638.248274002943,0.0,7638.248274002943,497.75,2026-09-17,497.75
2026-11-07,23044.77603179273,0.0,23044.77603179273,497.75,2026-09-17,497.75
2026-11-11,6154.117692959634,0.0,6154.117692959634,497.75,2026-09-17,497.75
2026-11-21,19143637.11060491,-1379408.873579461,17764228.237025447,497.75,2026-09-17,497.75
2026-11-25,3.3291196978355515,0.0,3.3291196978355515,497.75,2026-09-17,497.75
2026-12-04,13295.933397150677,0.0,13295.933397150677,497.75,2026-09-17,497.75
2026-12-05,432.37253781612617,0.0,432.37253781612617,497.75,2026-09-17,497.75
2026-12-09,191.49194857780017,0.0,191.49194857780017,497.75,2026-09-17,497.75
2026-12-12,356303.06210124306,-143696.93789875694,212606.12420248613,497.75,2026-09-17,497.75
2026-12-18,7350697.739639607,0.0,7350697.739639607,497.75,2026-09-17,497.75
2026-12-19,17201644.510346387,-2404401.7564530172,14797242.753893372,497.75,2026-09-17,497.75
2026-12-31,0.0,-32.15125093006032,-32.15125093006032,497.75,2026-09-17,497.75
2027-01-05,55856.66028954153,-114143.33971045846,-58286.67942091693,497.75,2026-09-17,497.75
2027-01-06,56042.90233742684,-113957.09766257314,-57914.1953251463,497.75,2026-09-17,497.75
2027-01-07,56227.17074731823,-113772.82925268178,-57545.65850536355,497.75,2026-09-17,497.75
2027-01-15,27372932.364653155,0.0,27372932.364653155,497.75,2026-09-17,497.75
2027-01-16,16561969.742386237,-2442016.7253992544,14119953.016986983,497.75,2026-09-17,497.75
2027-01-21,2497.709365687945,-37.41986685545736,2460.289498832488,497.75,2026-09-17,497.75
2027-02-24,2061.603148110029,-1165.015032148447,896.5881159615815,497.75,2026-09-17,497.75
2027-03-05,59627.252242690396,0.0,59627.252242690396,497.75,2026-09-17,497.75
2027-03-20,4971659.845226996,-1097552.7823580028,3874107.0628689933,497.75,2026-09-17,497.75
2027-03-26,0.0,-57.995162994532215,-57.995162994532215,497.75,2026-09-17,497.75
2027-03-31,0.0,-201.21740208839375,-201.21740208839375,497.75,2026-09-17,497.75
2027-04-17,160822.4658732599,-97891.78152097725,62930.68435228265,497.75,2026-09-17,497.75
2027-06-12,70391.03037249802,-6342.233167414285,64048.797205083734,497.75,2026-09-17,497.75
2027-06-18,5494375.041243485,-1122892.286288909,4371482.754954576,497.75,2026-09-17,497.75
2027-06-30,0.0,-365.7295541201377,-365.7295541201377,497.75,2026-09-17,497.75
2027-09-18,1209129.1902222375,-305925.80239347013,903203.3878287674,497.75,2026-09-17,497.75
2027-12-18,4130102.40684564,-964521.8120476714,3165580.5947979684,497.75,2026-09-17,497.75
2028-01-22,4516823.763673303,-1368400.2467693621,3148423.5169039406,497.75,2026-09-17,497.75
2028-06-17,1825451.07017064,-287458.0994133491,1537992.970757291,497.75,2026-09-17,497.75
2028-12-16,5494204.253657177,-1168052.3366070075,4326151.91705017,497.75,2026-09-17,497.75
2029-01-20,19670.430484476125,-15283.343568392704,4387.086916083423,497.75,2026-09-17,497.75
2029-03-17,5251.452326793188,0.0,5251.452326793188,497.75,2026-09-17,497.75
2030-06-22,0.0,-31784.764397976105,-31784.764397976105,497.75,2026-09-17,497.75
2026-09-18,32300.0,-3.156561721798903e-48,32300.0,517.75,2026-09-17,497.75
2026-09-19,36316193.35570115,-320271.7906443461,35995921.5650568,517.75,2026-09-17,497.75
2026-09-22,330452.265567075,-11449.779041094143,319002.4865259809,517.75,2026-09-17,497.75
2026-09-24,112870.29696289173,-11793.84205302731,101076.45490986442,517.75,2026-09-17,497.75
2026-09-26,4413605.084525231,-660613.3019298313,3752991.7825953998,517.75,2026-09-17,497.75
2026-09-29,62489.86527522116,-11866.79144630046,50623.07382892069,517.75,2026-09-17,497.75
2026-10-01,38300.19857166783,-1325.3058970045997,36974.892674663235,517.75,2026-09-17,497.75
2026-10-02,316848.7251382804,-29821.608269913464,287027.11686836695,517.75,2026-09-17,497.75
2026-10-03,3886757.0216242443,-457891.2217852241,3428865.7998390202,517.75,2026-09-17,497.75
2026-10-06,0.0,-29990.473129160022,-29990.473129160022,517.75,2026-09-17,497.75
2026-10-10,989956.8561332104,-330554.508100281,659402.3480329294,517.75,2026-09-17,497.75
2026-10-13,0.0,-46845.99494771157,-46845.99494771157,517.75,2026-09-17,497.75
2026-10-16,56454.306753806486,-23545.69324619352,32908.613507612965,517.75,2026-09-17,497.75
2026-10-17,23128385.11419147,-3019599.3435154078,20108785.77067606,517.75,2026-09-17,497.75
2026-10-24,217161.33989565526,-51478.07730272485,165683.2625929304,517.75,2026-09-17,497.75
2026-10-31,117814.26515593374,-33024.254539729525,84790.01061620422,517.75,2026-09-17,497.75
2026-11-05,13304.22342805119,0.0,13304.22342805119,517.75,2026-09-17,497.75
2026-11-07,41189.13857067631,0.0,41189.13857067631,517.75,2026-09-17,497.75
2026-11-11,10935.88161864653,0.0,10935.88161864653,517.75,2026-09-17,497.75
2026-11-21,25374163.211385425,-927149.0537930187,24447014.15759241,517.75,2026-09-17,497.75
2026-11-25,8.639222026443797,0.0,8.639222026443797,517.75,2026-09-17,497.75
2026-12-04,19597.119174289182,0.0,19597.119174289182,517.75,2026-09-17,497.75
2026-12-05,692.6073221156569,0.0,692.6073221156569,517.75,2026-09-17,497.75
2026-12-09,295.8600444379003,0.0,295.8600444379003,517.75,2026-09-17,497.75
2026-12-12,404952.29310924467,-95047.70689075539,309904.5862184893,517.75,2026-09-17,497.75
