Expiry,callHedge,putHedge,netHedge,Price,ProcDate,ClosePrice
2026-09-26,1.0304684216197812e-21,-16846409.476191193,-16846409.476191193,23.0,2026-09-25,123.0
2026-09-29,8.404868729557608e-20,-2056500.0,-2056500.0,23.0,2026-09-25,123.0
2026-10-01,1.3876431508772288e-12,-1404800.0,-1404800.0,23.0,2026-09-25,123.0
2026-10-03,1.907489201545315e-11,-21270600.0,-21270600.0,23.0,2026-09-25,123.0
2026-10-06,5.61471532505687e-09,-327900.0,-327899.9999999944,23.0,2026-09-25,123.0
2026-10-08,1.4649852211955469e-19,-17600.0,-17600.0,23.0,2026-09-25,123.0
2026-10-09,4.707828938774673e-26,0.0,4.707828938774673e-26,23.0,2026-09-25,123.0
2026-10-10,7.705132750046604e-05,-9029999.999658605,-9029999.999581553,23.0,2026-09-25,123.0
2026-10-13,0.0,-80400.0,-80400.0,23.0,2026-09-25,123.0
2026-10-14,3.3097012136073194e-09,-6623499.999999996,-6623499.9999999935,23.0,2026-09-25,123.0
2026-10-17,5690.367016817329,-42613676.225553215,-42607985.85853639,23.0,2026-09-25,123.0
2026-10-21,3.263337654318387e-07,-1743199.9997546016,-1743199.9997542754,23.0,2026-09-25,123.0
2026-10-24,2298977.4442732316,-2431897.8602192844,-132920.41594605296,23.0,2026-09-25,123.0
2026-10-28,0.0016080498906088322,-1762199.99839195,-1762199.9967839,23.0,2026-09-25,123.0
2026-10-31,1.2375238636449926,-2091597.882923876,-2091596.6454000121,23.0,2026-09-25,123.0
2026-11-04,0.05622770645367923,-5407399.943772294,-5407399.887544587,23.0,2026-09-25,123.0
2026-11-07,7.683735741824524e-06,-36499.99991757118,-36499.99990988744,23.0,2026-09-25,123.0
2026-11-12,1.3229888436732918e-06,-71299.99999867701,-71299.99999735403,23.0,2026-09-25,123.0
2026-11-21,98781.12608754639,-24930292.251621265,-24831511.12553372,23.0,2026-09-25,123.0
2026-12-19,3489007.0009344607,-34323979.781800605,-30834972.780866142,23.0,2026-09-25,123.0
2027-01-16,5503693.955391555,-43174095.02711474,-37670401.071723185,23.0,2026-09-25,123.0
2027-02-20,9373.559129673195,-9096903.670536008,-9087530.111406334,23.0,2026-09-25,123.0
2027-03-19,1328.0151499400308,-498671.98485006,-497343.96970012,23.0,2026-09-25,123.0
2027-03-20,600237.7337474789,-17296962.148584556,-16696724.414837075,23.0,2026-09-25,123.0
2027-04-17,18458.950256640983,-3955154.1685050437,-3936695.2182484027,23.0,2026-09-25,123.0
2027-04-24,7.740515809209364,0.0,7.740515809209364,23.0,2026-09-25,123.0
2027-06-18,282990.41138167924,-17318009.090733003,-17035018.679351322,23.0,2026-09-25,123.0
2027-09-18,82278.72225329204,-3839752.1587537383,-3757473.436500446,23.0,2026-09-25,123.0
2027-12-18,5517330.955306345,-6987816.262943299,-1470485.307636954,23.0,2026-09-25,123.0
2028-01-22,4146387.127386679,-11033008.181190183,-6886621.053803504,23.0,2026-09-25,123.0
2028-02-29,3280.890503582325,0.0,3280.890503582325,23.0,2026-09-25,123.0
2028-08-16,2596483.3706595553,0.0,2596483.3706595553,23.0,2026-09-25,123.0
2028-08-23,1424103.1326456438,-8802634.981353052,-7378531.848707408,23.0,2026-09-25,123.0
2028-08-29,2266645.0009411545,-828515.539625604,1438129.4613155508,23.0,2026-09-25,123.0
2028-12-16,2465244.296214506,-4724194.849521394,-2258950.5533068874,23.0,2026-09-25,123.0
2029-01-20,141017.12749973344,-250967.3473568449,-109950.21985711144,23.0,2026-09-25,123.0
2029-12-22,26545.913115011193,-11854.086884988808,14691.826230022385,23.0,2026-09-25,123.0
2030-01-19,16524.696394318453,-52571.616707904366,-36046.92031358591,23.0,2026-09-25,123.0
2026-09-26,92868.24258649352,-15153129.39672905,-15060261.154142557,73.0,2026-09-25,123.0
2026-09-29,8637.468625929585,-2026106.7785395947,-2017469.3099136653,73.0,2026-09-25,123.0
2026-10-01,14738.798469124726,-1401736.7049567844,-1386997.9064876598,73.0,2026-09-25,123.0
2026-10-03,94743.9047806761,-16920213.80781881,-16825469.903038137,73.0,2026-09-25,123.0
2026-10-06,2945.9328869285746,-326496.36424755596,-323550.43136062735,73.0,2026-09-25,123.0
2026-10-08,25.70598555304572,-17531.246825029855,-17505.540839476813,73.0,2026-09-25,123.0
2026-10-09,0.41669517658349875,0.0,0.41669517658349875,73.0,2026-09-25,123.0
2026-10-10,268580.34932799,-7242365.416925513,-6973785.067597524,73.0,2026-09-25,123.0
2026-10-13,0.0,-79397.7726609703,-79397.7726609703,73.0,2026-09-25,123.0
2026-10-14,397451.38369871676,-6226048.616301283,-5828597.232602567,73.0,2026-09-25,123.0
2026-10-17,4391709.728171272,-30415190.334291127,-26023480.606119853,73.0,2026-09-25,123.0
2026-10-21,102773.69544553138,-1620697.2962199654,-1517923.6007744342,73.0,2026-09-25,123.0
2026-10-24,10628461.11475355,-1878763.9178319029,8749697.196921647,73.0,2026-09-25,123.0
2026-10-28,304788.1790302526,-1457411.8209697471,-1152623.6419394945,73.0,2026-09-25,123.0
2026-10-31,128926.72131055465,-1678499.0730469937,-1549572.3517364392,73.0,2026-09-25,123.0
2026-11-04,857815.9488832551,-4549584.051116745,-3691768.10223349,73.0,2026-09-25,123.0
2026-11-07,634.4379071390108,-33950.044751732465,-33315.60684459346,73.0,2026-09-25,123.0
2026-11-12,566.7540395463096,-70733.24596045369,-70166.49192090737,73.0,2026-09-25,123.0
2026-11-21,9731285.106975097,-14047956.850042561,-4316671.743067463,73.0,2026-09-25,123.0
2026-12-19,26700912.20222324,-10379289.662947547,16321622.539275697,73.0,2026-09-25,123.0
2027-01-16,28134734.34865159,-14672748.24424039,13461986.104411202,73.0,2026-09-25,123.0
2027-02-20,993021.1490927517,-4047419.649387476,-3054398.5002947245,73.0,2026-09-25,123.0
2027-03-19,139505.2093545005,-360494.7906454995,-220989.581290999,73.0,2026-09-25,123.0
2027-03-20,6026910.244838223,-7697234.08233222,-1670323.8374939966,73.0,2026-09-25,123.0
2027-04-17,565248.6821781688,-1875339.0640417181,-1310090.3818635496,73.0,2026-09-25,123.0
2027-04-24,677.8880034025864,0.0,677.8880034025864,73.0,2026-09-25,123.0
2027-06-18,3355053.9459281582,-8036324.409399232,-4681270.463471074,73.0,2026-09-25,123.0
2027-09-18,739966.6660443526,-1520282.6259170473,-780315.9598726947,73.0,2026-09-25,123.0
2027-12-18,10979668.52072359,-1997649.0246702828,8982019.496053308,73.0,2026-09-25,123.0
2028-01-22,13559392.600403221,-4228437.633507225,9330954.966895998,73.0,2026-09-25,123.0
2028-02-29,21970.93670088984,0.0,21970.93670088984,73.0,2026-09-25,123.0
2028-08-16,8344172.843406424,0.0,8344172.843406424,73.0,2026-09-25,123.0
2028-08-23,5383689.492984061,-4371987.066126905,1011702.4268571557,73.0,2026-09-25,123.0
2028-08-29,6872339.072515851,-403380.7560574353,6468958.316458415,73.0,2026-09-25,123.0
2028-12-16,6192203.3289896,-2241607.6543167997,3950595.6746728,73.0,2026-09-25,123.0
2029-01-20,289700.7250522279,-111507.18568767411,178193.5393645538,73.0,2026-09-25,123.0
2029-12-22,34976.49639181487,-3423.5036081851285,31552.992783629743,73.0,2026-09-25,123.0
2030-01-19,22922.726083427126,-14110.410916301338,8812.315167125784,73.0,2026-09-25,123.0
2026-09-26,2482687.6635954576,-9097467.027442481,-6614779.363847024,103.0,2026-09-25,123.0
2026-09-29,133967.71524828125,-1615066.3122577344,-1481098.5970094532,103.0,2026-09-25,123.0
2026-10-01,190071.81020623242,-1051719.741311394,-861647.9311051617,103.0,2026-09-25,123.0
2026-10-03,6752939.232776123,-7669586.49557689,-916647.262800767,103.0,2026-09-25,123.0
2026-10-06,39496.8217180611,-223272.08062776862,-183775.2589097075,103.0,2026-09-25,123.0
2026-10-08,4460.669724512896,-13430.522879250992,-8969.853154738095,103.0,2026-09-25,123.0
2026-10-09,153.58542730113393,0.0,153.58542730113393,103.0,2026-09-25,123.0
2026-10-10,3313510.757335599,-2731753.4771783296,581757.2801572693,103.0,2026-09-25,123.0
2026-10-13,0.0,-46452.08384982379,-46452.08384982379,103.0,2026-09-25,123.0
2026-10-14,4297051.829497274,-2326448.170502727,1970603.6589945473,103.0,2026-09-25,123.0
2026-10-17,21771054.071073424,-10779209.520910025,10991844.550163403,103.0,2026-09-25,123.0
2026-10-21,954017.3059223281,-747075.4950121709,206941.81091015728,103.0,2026-09-25,123.0
2026-10-24,11438743.378873419,-877595.9855137006,10561147.393359719,103.0,2026-09-25,123.0
2026-10-28,1260393.2516701014,-501806.74832989846,758586.503340203,103.0,2026-09-25,123.0
2026-10-31,1135130.9765729958,-809536.3859364773,325594.5906365185,103.0,2026-09-25,123.0
2026-11-04,3489319.7163062445,-1918080.2836937553,1571239.4326124892,103.0,2026-09-25,123.0
2026-11-07,5770.042624782309,-20889.822787302935,-15119.780162520627,103.0,2026-09-25,123.0
2026-11-12,8798.394671182716,-62501.60532881729,-53703.210657634576,103.0,2026-09-25,123.0
2026-11-21,20585074.470924154,-5804656.956269169,14780417.514654985,103.0,2026-09-25,123.0
2026-12-19,33820940.72635352,-4487000.732141892,29333939.994211625,103.0,2026-09-25,123.0
2027-01-16,37807915.53591114,-6934739.414261896,30873176.121649247,103.0,2026-09-25,123.0
2027-02-20,1935253.9260410722,-1945398.1629134528,-10144.236872380503,103.0,2026-09-25,123.0
2027-03-19,264049.38848705863,-235950.61151294134,28098.776974117296,103.0,2026-09-25,123.0
2027-03-20,9224458.168792268,-4161583.326679572,5062874.842112696,103.0,2026-09-25,123.0
2027-04-17,959235.1553360422,-1038877.4752939347,-79642.31995789257,103.0,2026-09-25,123.0
2027-04-24,1356.598410789588,0.0,1356.598410789588,103.0,2026-09-25,123.0
2027-06-18,5160682.551624139,-4691525.771099597,469156.7805245418,103.0,2026-09-25,123.0
2027-09-18,1069097.74858529,-880577.3993835329,188520.34920175708,103.0,2026-09-25,123.0
2027-12-18,12420428.555751162,-1189819.4049239084,11230609.150827253,103.0,2026-09-25,123.0
2028-01-22,16555544.263874814,-2685414.8297037524,13870129.434171062,103.0,2026-09-25,123.0
2028-02-29,30663.40197274357,0.0,30663.40197274357,103.0,2026-09-25,123.0
2028-08-16,10182773.749744147,0.0,10182773.749744147,103.0,2026-09-25,123.0
2028-08-23,6805833.017141439,-3058891.1692954903,3746941.8478459488,103.0,2026-09-25,123.0
2028-08-29,8267393.498074408,-280407.3716195964,7986986.126454812,103.0,2026-09-25,123.0
2028-12-16,7321908.154907506,-1589941.80935165,5731966.345555855,103.0,2026-09-25,123.0
2029-01-20,331657.33153655916,-78601.59824033067,253055.73329622846,103.0,2026-09-25,123.0
2029-12-22,36288.42041451526,-2111.5795854847356,34176.84082903052,103.0,2026-09-25,123.0
2030-01-19,24024.425462672316,-8541.15057335232,15483.274889319997,103.0,2026-09-25,123.0
2026-09-26,9527774.691170296,-1893513.558982639,7634261.132187656,123.0,2026-09-25,123.0
2026-09-29,835969.2176487616,-567568.9179582972,268400.29969046434,123.0,2026-09-25,123.0
2026-10-01,921600.1431456201,-359746.65901773237,561853.4841278878,123.0,2026-09-25,123.0
2026-10-03,14997212.011118777,-1828728.8483022624,13168483.162816515,123.0,2026-09-25,123.0
2026-10-06,162688.303361618,-82483.95701548105,80204.34634613694,123.0,2026-09-25,123.0
2026-10-08,30094.90590248153,-6176.0360145199475,23918.869887961584,123.0,2026-09-25,123.0
2026-10-09,569.3913054691623,0.0,569.3913054691623,123.0,2026-09-25,123.0
2026-10-10,5936935.797030344,-746064.3182797508,5190871.478750593,123.0,2026-09-25,123.0
2026-10-13,0.0,-15700.521280788016,-15700.521280788016,123.0,2026-09-25,123.0
2026-10-14,6073037.385234463,-550462.6147655374,5522574.770468926,123.0,2026-09-25,123.0
2026-10-17,33823215.47941545,-3865340.2387495,29957875.240665946,123.0,2026-09-25,123.0
2026-10-21,1448005.8379932847,-256100.00210815074,1191905.8358851338,123.0,2026-09-25,123.0
2026-10-24,12187161.16459837,-427176.7953508163,11759984.369247554,123.0,2026-09-25,123.0
2026-10-28,1605596.0965738723,-156603.90342612762,1448992.1931477445,123.0,2026-09-25,123.0
2026-10-31,2309530.031406389,-387852.23207277985,1921677.7993336094,123.0,2026-09-25,123.0
2026-11-04,4650206.296632731,-757193.7033672687,3893012.5932654627,123.0,2026-09-25,123.0
2026-11-07,11009.650185556126,-11502.545321166352,-492.89513561022704,123.0,2026-09-25,123.0
